Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,ELEV1,ELEV2,DELEV
POINTVOL,40.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.4304,3.4304
POINTVOL,40.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.7573,2.7573
POINTVOL,40.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.0843,2.0843
POINTVOL,40.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.4112,1.4112
POINTVOL,40.0,45.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.7381,0.7381
POINTVOL,40.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.065,0.065
POINTVOL,40.0,55.0,0.0,5.0,5.0,5.0,0.0,0.0,0.6081,-0.6081
POINTVOL,40.0,60.0,0.0,5.0,5.0,5.0,0.0,0.0,1.2812,-1.2812
POINTVOL,40.0,65.0,0.0,5.0,5.0,5.0,0.0,0.0,1.9543,-1.9543
POINTVOL,40.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,2.6274,-2.6274
POINTVOL,40.0,75.0,0.0,5.0,5.0,5.0,0.0,0.0,3.3004,-3.3004
POINTVOL,40.0,80.0,0.0,5.0,5.0,5.0,0.0,0.0,3.9735,-3.9735
POINTVOL,40.0,85.0,2.4999999999999196,5.0,5.0,5.0,0.0,2.5,4.6466,-2.1466
POINTVOL,40.0,90.0,4.99999999999991,5.0,5.0,5.0,0.0,5.0,5.3197,-0.3197
POINTVOL,40.0,95.0,5.992789235371371,5.0,5.0,5.0,0.0,5.9928,5.9928,0.0
POINTVOL,40.0,100.0,6.6658765855283155,5.0,5.0,5.0,0.0,6.6659,6.6659,0.0
POINTVOL,45.0,0.0,-6.927605806362453,5.0,5.0,5.0,0.0,-6.9276,-6.9276,0.0
POINTVOL,45.0,5.0,-6.25451845620551,5.0,5.0,5.0,0.0,-6.2545,-6.2545,-0.0
POINTVOL,45.0,10.0,-4.993621341782754,5.0,5.0,5.0,0.0,-4.9936,-5.5814,0.5878
POINTVOL,45.0,15.0,-2.5000000000000946,5.0,5.0,5.0,0.0,-2.5,-4.9083,2.4083
POINTVOL,45.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-4.2353,4.2353
POINTVOL,45.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.5622,3.5622
POINTVOL,45.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.8891,2.8891
POINTVOL,45.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.216,2.216
POINTVOL,45.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.5429,1.5429
POINTVOL,45.0,45.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.8698,0.8698
POINTVOL,45.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.1967,0.1967
POINTVOL,45.0,55.0,0.0,5.0,5.0,5.0,0.0,0.0,0.4764,-0.4764
POINTVOL,45.0,60.0,0.0,5.0,5.0,5.0,0.0,0.0,1.1494,-1.1494
POINTVOL,45.0,65.0,0.0,5.0,5.0,5.0,0.0,0.0,1.8225,-1.8225
POINTVOL,45.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,2.4956,-2.4956
POINTVOL,45.0,75.0,0.0,5.0,5.0,5.0,0.0,0.0,3.1687,-3.1687
POINTVOL,45.0,80.0,0.0,5.0,5.0,5.0,0.0,0.0,3.8418,-3.8418
POINTVOL,45.0,85.0,2.4999999999999196,5.0,5.0,5.0,0.0,2.5,4.5149,-2.0149
POINTVOL,45.0,90.0,4.99999999999991,5.0,5.0,5.0,0.0,5.0,5.188,-0.188
POINTVOL,45.0,95.0,5.861053846619471,5.0,5.0,5.0,0.0,5.8611,5.8611,0.0
POINTVOL,45.0,100.0,6.534141196776415,5.0,5.0,5.0,0.0,6.5341,6.5341,0.0
POINTVOL,50.0,0.0,-7.059341195114353,5.0,5.0,5.0,0.0,-7.0593,-7.0593,0.0
POINTVOL,50.0,5.0,-6.386253844957411,5.0,5.0,5.0,0.0,-6.3863,-6.3863,-0.0
POINTVOL,50.0,10.0,-4.995853609717812,5.0,5.0,5.0,0.0,-4.9959,-5.7132,0.7173
POINTVOL,50.0,15.0,-2.5000000000000946,5.0,5.0,5.0,0.0,-2.5,-5.0401,2.5401
POINTVOL,50.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-4.367,4.367
POINTVOL,50.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.6939,3.6939
POINTVOL,50.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.0208,3.0208
POINTVOL,50.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.3477,2.3477
POINTVOL,50.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.6746,1.6746
POINTVOL,50.0,45.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.0016,1.0016
POINTVOL,50.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.3285,0.3285
POINTVOL,50.0,55.0,0.0,5.0,5.0,5.0,0.0,0.0,0.3446,-0.3446
POINTVOL,50.0,60.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0177,-1.0177
POINTVOL,50.0,65.0,0.0,5.0,5.0,5.0,0.0,0.0,1.6908,-1.6908
POINTVOL,50.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,2.3639,-2.3639
POINTVOL,50.0,75.0,0.0,5.0,5.0,5.0,0.0,0.0,3.037,-3.037
POINTVOL,50.0,80.0,0.0,5.0,5.0,5.0,0.0,0.0,3.7101,-3.7101
POINTVOL,50.0,85.0,2.4999999999999174,5.0,5.0,5.0,0.0,2.5,4.3831,-1.8831
POINTVOL,50.0,90.0,4.99999999999991,5.0,5.0,5.0,0.0,5.0,5.0562,-0.0562
POINTVOL,50.0,95.0,5.72931845786757,5.0,5.0,5.0,0.0,5.7293,5.7293,0.0
POINTVOL,50.0,100.0,6.402405808024514,5.0,5.0,5.0,0.0,6.4024,6.4024,0.0
POINTVOL,55.0,0.0,-7.191076583866254,5.0,5.0,5.0,0.0,-7.1911,-7.1911,0.0
POINTVOL,55.0,5.0,-6.517989233709312,5.0,5.0,5.0,0.0,-6.518,-6.518,-0.0
POINTVOL,55.0,10.0,-4.998085877652868,5.0,5.0,5.0,0.0,-4.9981,-5.8449,0.8468
POINTVOL,55.0,15.0,-2.5000000000000946,5.0,5.0,5.0,0.0,-2.5,-5.1718,2.6718
POINTVOL,55.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-4.4987,4.4987
POINTVOL,55.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.8256,3.8256
POINTVOL,55.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.1526,3.1526
POINTVOL,55.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.4795,2.4795
POINTVOL,55.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.8064,1.8064
POINTVOL,55.0,45.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.1333,1.1333
POINTVOL,55.0,50.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.4602,0.4602
POINTVOL,55.0,55.0,0.0,5.0,5.0,5.0,0.0,0.0,0.2129,-0.2129
POINTVOL,55.0,60.0,0.0,5.0,5.0,5.0,0.0,0.0,0.886,-0.886
POINTVOL,55.0,65.0,0.0,5.0,5.0,5.0,0.0,0.0,1.5591,-1.5591
POINTVOL,55.0,70.0,0.0,5.0,5.0,5.0,0.0,0.0,2.2321,-2.2321
POINTVOL,55.0,75.0,0.0,5.0,5.0,5.0,0.0,0.0,2.9052,-2.9052
POINTVOL,55.0,80.0,0.0,5.0,5.0,5.0,0.0,0.0,3.5783,-3.5783
POINTVOL,55.0,85.0,2.4999999999999174,5.0,5.0,5.0,0.0,2.5,4.2514,-1.7514
POINTVOL,55.0,90.0,4.924495718958723,5.0,5.0,5.0,0.0,4.9245,4.9245,-0.0
POINTVOL,55.0,95.0,5.597583069115669,5.0,5.0,5.0,0.0,5.5976,5.5976,0.0
POINTVOL,55.0,100.0,6.270670419272613,5.0,5.0,5.0,0.0,6.2707,6.2707,0.0
POINTVOL,60.0,0.0,-7.3228119726181555,5.0,5.0,5.0,0.0,-7.3228,-7.3228,-0.0
POINTVOL,60.0,5.0,-6.649724622461213,5.0,5.0,5.0,0.0,-6.6497,-6.6497,-0.0
POINTVOL,60.0,10.0,-5.000000000000096,5.0,5.0,5.0,0.0,-5.0,-5.9766,0.9766
POINTVOL,60.0,15.0,-2.5000000000000946,5.0,5.0,5.0,0.0,-2.5,-5.3035,2.8035
POINTVOL,60.0,20.0,0.0,5.0,5.0,5.0,0.0,0.0,-4.6305,4.6305
POINTVOL,60.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.9574,3.9574
POINTVOL,60.0,30.0,0.0,5.0,5.0,5.0,0.0,0.0,-3.2843,3.2843
POINTVOL,60.0,35.0,0.0,5.0,5.0,5.0,0.0,0.0,-2.6112,2.6112
POINTVOL,60.0,40.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.9381,1.9381
