Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,CUT,FILL,AREACUT,AREAFILL,SUM
GRIDCELL,22.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,68.3,0.0,25.0,68.3
GRIDCELL,22.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,82.6,0.0,25.0,82.6
GRIDCELL,22.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,65.8,0.0,25.0,65.8
GRIDCELL,22.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,49.0,0.0,25.0,49.0
GRIDCELL,22.5,37.5,0.0,5.0,5.0,5.0,0.0,0.0,32.2,0.0,25.0,32.2
GRIDCELL,22.5,42.5,0.0,5.0,5.0,5.0,0.0,0.0,15.3,0.0,25.0,15.3
GRIDCELL,22.5,47.5,0.0,5.0,5.0,5.0,0.0,-2.9,1.5,14.7112,10.2888,-1.4
GRIDCELL,22.5,52.5,0.0,5.0,5.0,5.0,0.0,-18.3,0.0,25.0,0.0,-18.3
GRIDCELL,22.5,57.5,0.0,5.0,5.0,5.0,0.0,-35.1,0.0,25.0,0.0,-35.1
GRIDCELL,22.5,62.5,0.0,5.0,5.0,5.0,0.0,-52.0,0.0,25.0,0.0,-52.0
GRIDCELL,22.5,67.5,0.0,5.0,5.0,5.0,0.0,-68.8,0.0,25.0,0.0,-68.8
GRIDCELL,22.5,72.5,0.0,5.0,5.0,5.0,0.0,-85.6,0.0,25.0,0.0,-85.6
GRIDCELL,22.5,77.5,0.0,5.0,5.0,5.0,0.0,-102.5,0.0,25.0,0.0,-102.5
GRIDCELL,22.5,82.5,0.0,5.0,5.0,5.0,0.0,-88.0,0.0,25.0,0.0,-88.0
GRIDCELL,22.5,87.5,0.0,5.0,5.0,5.0,0.0,-42.4,0.0,25.0,0.0,-42.4
GRIDCELL,22.5,92.5,0.0,5.0,5.0,5.0,0.0,-4.2,0.0,21.5901,3.4099,-4.2
GRIDCELL,22.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,3.392,21.608,0.0
GRIDCELL,27.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,27.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,0.1,14.1486,10.8514,0.1
GRIDCELL,27.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,26.1,0.0,25.0,26.1
GRIDCELL,27.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,71.6,0.0,25.0,71.6
GRIDCELL,27.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,85.9,0.0,25.0,85.9
GRIDCELL,27.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,69.1,0.0,25.0,69.1
GRIDCELL,27.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,52.3,0.0,25.0,52.3
GRIDCELL,27.5,37.5,0.0,5.0,5.0,5.0,0.0,0.0,35.5,0.0,25.0,35.5
GRIDCELL,27.5,42.5,0.0,5.0,5.0,5.0,0.0,0.0,18.6,0.0,25.0,18.6
GRIDCELL,27.5,47.5,0.0,5.0,5.0,5.0,0.0,-1.3,3.1,9.8182,15.1818,1.8
GRIDCELL,27.5,52.5,0.0,5.0,5.0,5.0,0.0,-15.0,0.0,25.0,0.0,-15.0
GRIDCELL,27.5,57.5,0.0,5.0,5.0,5.0,0.0,-31.8,0.0,25.0,0.0,-31.8
GRIDCELL,27.5,62.5,0.0,5.0,5.0,5.0,0.0,-48.7,0.0,25.0,0.0,-48.7
GRIDCELL,27.5,67.5,0.0,5.0,5.0,5.0,0.0,-65.5,0.0,25.0,0.0,-65.5
