Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,ELEV1,ELEV2,DELEV
POINTVOL,175.0,0.0,947.4600187742536,25.0,25.0,25.0,0.0,947.46,947.46,0.0
POINTVOL,175.0,25.0,955.6620551186128,25.0,25.0,25.0,0.0,955.6621,955.6621,0.0
POINTVOL,175.0,50.0,959.150422037165,25.0,25.0,25.0,0.0,959.1504,959.1504,0.0
POINTVOL,175.0,75.0,965.0999999999761,25.0,25.0,25.0,0.0,965.1,960.478,4.622
POINTVOL,175.0,100.0,965.1000000000187,25.0,25.0,25.0,0.0,965.1,959.51,5.59
POINTVOL,175.0,125.0,964.5000000000268,25.0,25.0,25.0,0.0,964.5,954.87,9.63
POINTVOL,175.0,150.0,957.3833333338916,25.0,25.0,25.0,0.0,957.3833,950.0102,7.3732
POINTVOL,175.0,175.0,945.1057965579669,25.0,25.0,25.0,0.0,945.1058,945.1058,0.0
POINTVOL,175.0,200.0,948.3784946155038,25.0,25.0,25.0,0.0,948.3785,948.3785,0.0
POINTVOL,175.0,225.0,952.4992917988332,25.0,25.0,25.0,0.0,952.4993,952.4993,0.0
POINTVOL,175.0,250.0,954.6202057455779,25.0,25.0,25.0,0.0,954.6202,954.6202,0.0
POINTVOL,175.0,275.0,954.9937681665535,25.0,25.0,25.0,0.0,954.9938,954.9938,0.0
POINTVOL,175.0,300.0,952.9579380885209,25.0,25.0,25.0,0.0,952.9579,952.9579,0.0
POINTVOL,175.0,325.0,948.0063930842412,25.0,25.0,25.0,0.0,948.0064,948.0064,0.0
POINTVOL,175.0,350.0,941.6217248553678,25.0,25.0,25.0,0.0,941.6217,941.6217,0.0
POINTVOL,200.0,0.0,952.3359333509463,25.0,25.0,25.0,0.0,952.3359,952.3359,0.0
POINTVOL,200.0,25.0,959.7059020678776,25.0,25.0,25.0,0.0,959.7059,959.7059,0.0
POINTVOL,200.0,50.0,962.0633038345869,25.0,25.0,25.0,0.0,962.0633,962.0633,0.0
POINTVOL,200.0,75.0,965.6208333333157,25.0,25.0,25.0,0.0,965.6208,962.2417,3.3791
POINTVOL,200.0,100.0,965.6000000000163,25.0,25.0,25.0,0.0,965.6,960.81,4.79
POINTVOL,200.0,125.0,965.0000000000226,25.0,25.0,25.0,0.0,965.0,955.34,9.66
POINTVOL,200.0,150.0,957.8833333338499,25.0,25.0,25.0,0.0,957.8833,950.8087,7.0747
POINTVOL,200.0,175.0,947.7853794035358,25.0,25.0,25.0,0.0,947.7854,947.7854,0.0
POINTVOL,200.0,200.0,952.1221269905149,25.0,25.0,25.0,0.0,952.1221,952.1221,0.0
POINTVOL,200.0,225.0,955.6900790296481,25.0,25.0,25.0,0.0,955.6901,955.6901,0.0
POINTVOL,200.0,250.0,957.4246641699183,25.0,25.0,25.0,0.0,957.4247,957.4247,0.0
POINTVOL,200.0,275.0,957.9946924901577,25.0,25.0,25.0,0.0,957.9947,957.9947,0.0
POINTVOL,200.0,300.0,955.6133791587079,25.0,25.0,25.0,0.0,955.6134,955.6134,0.0
POINTVOL,200.0,325.0,951.0203049516317,25.0,25.0,25.0,0.0,951.0203,951.0203,0.0
POINTVOL,200.0,350.0,944.9549574240114,25.0,25.0,25.0,0.0,944.955,944.955,0.0
POINTVOL,225.0,0.0,955.3428012543641,25.0,25.0,25.0,0.0,955.3428,955.3429,-0.0001
